"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","217","","Worker Suite","","Worker Suite","","[It] Edit NodeIP tests for cluster CR,  Edit NodeIP validation,  Test nodeip validity >  Verify Events - should have ClusterNodeIpAutoDetected event in auto-detection",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:04 GMT 2024","1572","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should create slice for valid namespace and valid clusters in applicationNamespaces of sliceconfigs manifest",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","110","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 10:04:11 GMT 2024","1264332","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[AfterSuite]",""
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 07:57:16 GMT 2024","123117","","SliceHealth Suite","","SliceHealth Suite","","[It] Testing Slice Health feature >  Verify various properties of SliceHealth object in worker slice config spec >  Should have slice slicerouter status Error when slicerouter is unavailable",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","361","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should contain the allowed namespaces",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:13 GMT 2024","10658","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Should restart mesh-dns pod",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:07 GMT 2024","4043","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] GW redundacy tests Test gw redundancy Should verify cluster CR status field",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Iperf traffic",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:13 GMT 2024","10540","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","168","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"failed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:42:39 GMT 2024","216462","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  gatewayServiceType: LB >  Verify load balancer creation",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 09:43:37 GMT 2024","30847","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: Should update new certificate and expiry TS",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 09:44:42 GMT 2024","95202","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[BeforeSuite]",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:13 GMT 2024","10621","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Should restart worker-operator pod",""
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 07:57:14 GMT 2024","121783","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when slice is installed should eventually have slicehealth status normal",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","5","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation should remove gateway pod from spoke",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:04 GMT 2024","1116","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should successfully deploy slice for valid namespace and valid clusters in allowedNamespaces of sliceconfigs manifest",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 09:43:08 GMT 2024","1244","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: all workers should be in IN_PROGRESS",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","481","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid namespace in both applicationNamespace and allowedNamespace",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 09:43:10 GMT 2024","3427","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: should update certificate creation and expiry TS once all jobs are over",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:04 GMT 2024","1837","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for service export creation and deletion Events get recorded for service export deletion Validating events for service export deletion",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","659","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should update while deploying sliceconfig with existing slice name",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:22 GMT 2024","19408","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace deboard Should remove labels and annotations from pod spec which will remove sidecars from deployments",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] GW redundacy tests Test gw redundancy should able to remove the label from gw pod",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","12","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have vl3 router running",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","453","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should get attached to slice blue",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:44 GMT 2024","41550","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have gateway pods from both slices",""
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 08:16:26 GMT 2024","1273685","","SliceHealth Suite","","SliceHealth Suite","","[AfterSuite]",""
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 07:55:13 GMT 2024","61","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when both gateways are down should have tunnel status in error state",""
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 07:57:13 GMT 2024","120730","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when both gateways are up should have gw in normal state",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] GW redundacy tests Test gw redundancy checking if gw pods are balanced after adding the label to the node",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:33 GMT 2024","30603","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Should restart iperf-server pod",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:05 GMT 2024","2152","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart Should have application namespaces created",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","631","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid values on slice subnet",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:06 GMT 2024","3098","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have vl3 routers from both slices",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","246","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:21 GMT 2024","18840","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-sleep on client cluster",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","221","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
